TITLE,COLLECTION,PRICE,CREATOR,OWNER,IMAGE,DESCRIPTION,HISTORY,LINK
Cyborg Lady x Retouchs #35,Cyborg-Lady ,0.1 BNB (43.2 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/Qme4X37ARLa4BueVYT1jXgxSSy3R4DVjF2DpEt8ENrUpA8,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Listed by @livingartist28 Mar 2022 11:18:22 AM for 0.1 BNB43.2 USD', 'Minted by @livingartist28 Mar 2022 11:17:25 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41193
NEW HOME,-,0.0083 BNB (3.59 USD) ,@Vpnprasad ,@Vpnprasad ,unable to fetch,"Once seen as the center of the universe, Earth has suffered a series of demotions over the past few hundred years. Now, in an age of fast-paced discovery, we’ve learned we’re likely just one of trillions of planets in the Milky Way galaxy – and among the smaller ones at that. Earth won’t always be f...read more","['Bid placed by @Shadyholders28 Mar 2022 11:46:33 AM for 0.0083 BNB3.59 USD', 'Bid placed by @tripplevibes28 Mar 2022 11:31:52 AM for 0.0075 BNB3.24 USD', 'Bid placed by @Shadyholders28 Mar 2022 11:15:38 AM for 0.0068 BNB2.94 USD', 'Bid placed by @tripplevibes28 Mar 2022 10:05:28 AM for 0.0061 BNB2.64 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 11:45:32 PM for 0.0055 BNB2.38 USD', 'Bid placed by @PaPaJiCollects27 Mar 2022 01:24:27 PM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad27 Mar 2022 11:56:22 AM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad02 Mar 2022 06:48:58 PM for 0.15 BNB64.8 USD', 'Minted by @Vpnprasad02 Mar 2022 06:47:56 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/36023
Cyborg Lady x Bonnodik #34,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmXHQFwtGRssiiuJMcSMFE5bjXyxoB7F3BYQz6vqWPVeA5,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:30:13 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:13:44 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:12:55 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41192
STUD CHARLIE,THE-CHARLIE-CLUB ,0.05 BNB (21.6 USD) ,@sscreations2020 ,@TRONZART ,https://wazirx-nft-production.imgix.net/nft/QmTGfFo6HFqempPR62g35bVzubJX9TUWXSP2h9iYquf6sb,"This NFT collection is based on a legendry actor and comedian Charlie Champlin. Each character is designed in a unique way and more avatars is coming soon ! grab them all.
for utilities, please check the profile.","['Transferred to @TRONZART 28 Mar 2022 11:11:37 AM for 0.05 BNB21.6 USD', 'Listed by @sscreations202017 Mar 2022 05:44:58 PM for 0.05 BNB21.6 USD', 'Minted by @sscreations202017 Mar 2022 05:43:49 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39431
Cyborg Lady x Noobmaster #33,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmemnKSUGNVS3NKWwQgmeQNsSxpWV6BB856uV4V2cjmRmP,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:35:51 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:09:45 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:08:58 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41191
#10,-,0.02 BNB (8.64 USD) ,@bablaclub ,@bablaclub ,https://wazirx-nft-production.imgix.net/nft/QmWTQHM6nendrCPZTefRnE41FCHzKAxyEHc13ayE8VERRH,Negative Energy,"['Listed by @bablaclub28 Mar 2022 11:06:59 AM for 0.02 BNB8.64 USD', 'Minted by @bablaclub20 Mar 2022 10:24:51 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/39977
Cyborg Lady x Psdpixology #32,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,unable to fetch,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:34:54 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:06:14 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:05:19 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41190
Cyborg Lady x Msamimj #31,Cyborg-Lady ,0.11 BNB (47.52 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmPArZCMHmqruXD7qiGZaLobg2rtHHS5UYM1DpiqWTJWvs,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @CryptoSauga28 Mar 2022 11:04:29 AM for 0.11 BNB47.52 USD', 'Listed by @livingartist28 Mar 2022 11:01:58 AM for 0.11 BNB47.52 USD', 'Minted by @livingartist28 Mar 2022 11:01:15 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41189
Cyborg Lady x Msamimj #31,Cyborg-Lady ,0.11 BNB (47.52 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmPArZCMHmqruXD7qiGZaLobg2rtHHS5UYM1DpiqWTJWvs,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @CryptoSauga28 Mar 2022 11:04:29 AM for 0.11 BNB47.52 USD', 'Listed by @livingartist28 Mar 2022 11:01:58 AM for 0.11 BNB47.52 USD', 'Minted by @livingartist28 Mar 2022 11:01:15 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41189
Japanese Oni Mask #2,-,14 WRX (9.6 USD) ,@sammysection ,@sammysection ,unable to fetch,"Oni masks are most common during the Bean-Throwing Festival, also known as Setsubun, when people wear them for festival performances at shrines. ","['Listed by @sammysection28 Mar 2022 11:01:54 AM for 14 WRX9.6 USD', 'Minted by @sammysection28 Mar 2022 10:53:07 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41188
NomNom #496,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmPjWM9SyoFNHfZZzZhW8K6978kNNcxyfCQ1UpuH9Dj9fs,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:32:02 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:07 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:31 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41172
NomNom #497,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmevrghHhZsWdSCRNag23QqZg7wLRsUnGBUtWa8kw2bMpX,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:32:50 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:05 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:30 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41171
NomNom #499,Logical-Friends-X-Deepakshi ,0.056 BNB (24.19 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmdaamQtKZT5CbrJFzWD6ypXvTv1d6X954NLXFWcrqdu41,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @PrinceArora213428 Mar 2022 11:39:16 AM for 0.056 BNB24.19 USD', 'Bid placed by @AthiraDev28 Mar 2022 11:26:57 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:04 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:28 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41169
NomNom #498,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmRcraQ7JX884qf7xTxF8iFDMQAHr7ee3YJBVnRQf2qWye,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:15 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:04 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:29 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41170
NomNom #495,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/Qmbjr92TUgus8mKfTUnoBEs43zvxBBUzHctJxSz2xxXWZs,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:35:23 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:02 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:07:13 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41166
NomNom #500,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmVuXpiLzh2NrZMVZRfaC4yeKYXvxjkz4AMnb2Kzfztch6,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:34:36 AM for 0.1 BNB43.2 USD', 'Bid placed by @psdpixology28 Mar 2022 11:18:29 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:02 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:26 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41168
NomNom #494,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmZCJG7Z328QTFmHAdNcXMpW9BHogQRFRJGVNb1rQCKdLq,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:28 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:59 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:49:01 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41163
NomNom #493,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmNd8Q5NtEdmiKa9i75Ghh4t1Hv1BgiCKVSQKm5JaPezrb,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:40 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:59 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:39:15 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41162
NomNom #492,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmTmSe4UGKZbeyjfyQaj78YSjpvqWjSRrPqjXc2UnAnFaG,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:53 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:56 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:34:46 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41161
NomNom #491,Logical-Friends-X-Deepakshi ,0.044 BNB (19.01 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/Qme99WJBWj2ABckc27Ne8jPvLfq6ysX5XYvCF3JHheSViJ,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @Flycatcher28 Mar 2022 12:01:08 PM for 0.044 BNB19.01 USD', 'Bid placed by @mmondal28 Mar 2022 11:28:24 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:56 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:33:10 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41160
POPO #15,POPO-The-Platypus ,0.05 BNB (21.6 USD) ,@Alimation ,@Alimation ,https://wazirx-nft-production.imgix.net/nft/QmP3cU8eqXm8F4HwBvHTPypknfmZwcPTZRZcX3cEr4MMTp,"POPO is a platypus surfing over the metaverse and collecting digital coins.
POPO loves digital coin. do you love POPO?
Rarity:- Common","['Listed by @Alimation28 Mar 2022 10:52:23 AM for 0.05 BNB21.6 USD', 'Minted by @Alimation28 Mar 2022 10:51:33 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41187
Octopop #57,Octopops ,6 WRX (4.12 USD) ,@asmsingh ,@asmsingh ,unable to fetch,He possesses the ultimate power of changing space's colours. Say hey to Octien.,"['Listed by @asmsingh28 Mar 2022 10:51:14 AM for 6 WRX4.12 USD', 'Minted by @asmsingh28 Mar 2022 10:50:26 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41186
Neil,-,0.2 BNB (86.4 USD) ,@subhrojitdey ,@Duality ,https://wazirx-nft-production.imgix.net/nft/QmT3SecGHwBf2GGQLNZpYwxhKxdAqKcSUMYhfjkLBJhoFU,"Nobody has any purpose.
NFT Edition 1/1
In memory of my beloved brother 𝓝𝓮𝓲𝓵 𝓟𝓪𝓾𝓵 𝓒𝓱𝓸𝔀𝓭𝓱𝓾𝓻𝔂","['Transferred to @Duality 28 Mar 2022 10:50:14 AM for 0.2 BNB86.4 USD', 'Listed by @subhrojitdey28 Mar 2022 07:47:57 AM for 0.2 BNB86.4 USD', 'Minted by @subhrojitdey28 Mar 2022 07:46:35 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41159
Koala Club #111,Koala-Club ,10.72 WRX (7.35 USD) ,@Aladeen2 ,@Aladeen2 ,https://wazirx-nft-production.imgix.net/nft/QmcjgXck2tWZ27mPcuwFeAa5xGxfmfbeTVaGGrMg4L4WzH,A part of koala club. A universe of koalas and their funky fashion sense.,"['Bid placed by @Nishan19728 Mar 2022 11:29:13 AM for 10.72 WRX7.35 USD', 'Bid placed by @0xF9...66Aa28 Mar 2022 10:36:00 AM for 9.74 WRX6.68 USD', 'Bid placed by @Nishan19728 Mar 2022 08:46:39 AM for 8.85 WRX6.07 USD', 'Bid placed by @0xF9...66Aa27 Mar 2022 04:24:20 PM for 8 WRX5.49 USD', 'Bid placed by @Nishan19727 Mar 2022 12:28:19 PM for 6 WRX4.12 USD', 'Listed by @Aladeen206 Mar 2022 11:23:18 PM for 6 WRX4.12 USD', 'Minted by @Aladeen206 Mar 2022 11:22:19 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/37030
Anxiety,Human-Face-Study ,0.05 BNB (21.6 USD) ,@cyborgvision ,@cyborgvision ,https://wazirx-nft-production.imgix.net/nft/QmYYyuP9gkVvD8YFmEwvPiffgRBVp7dNaG6EopXqHmzp2v,"Whatever worries we have with us, all our failed dreams, incomparable cruelty, our fear of extinction, painful insight into our earthly condition, have slowly eroded our hope of salvation for each other. The scream of our faith and doubt against darkness and silence is one of the most terrifying pro...read more","['Bid placed by @divitz28 Mar 2022 10:32:06 AM for 0.05 BNB21.6 USD', 'Listed by @cyborgvision28 Mar 2022 12:07:40 AM for 0.05 BNB21.6 USD', 'Minted by @cyborgvision28 Mar 2022 12:06:51 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41147
Nowhere Land,Dare-2-Dream ,0.1 BNB (43.2 USD) ,@dskarts ,@dskarts ,https://wazirx-nft-production.imgix.net/nft/QmacjEQy4Lmbhct1XH3oF6A2rQqDjQmNSJ3L3QRojB2wsB,"When i first saw this nowhere land i was startled by the scene and also imagined a train barging right into me while capturing

As depicted in the picture, the train in my imagination could be the setbacks which barges in life  bringing darkness but if we are being patient and trust the process, s...read more","['Bid placed by @CryptoSauga28 Mar 2022 10:25:58 AM for 0.1 BNB43.2 USD', 'Listed by @dskarts20 Feb 2022 06:10:13 PM for 0.1 BNB43.2 USD', 'Minted by @dskarts20 Feb 2022 06:08:37 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/33511
Krypto Maskers - 0335 (C),Kryptomaskers ,-,@KryptoMaskers ,@ArpitJalan ,https://wazirx-nft-production.imgix.net/nft/QmQBLtxzswTnzE2yTqjiiEBUnYwV7JYtTYEqCJwXJkgcVq,Kryptomaskers are a group of warriors from the distant future of earth where the AI and clones started ruling the planet. Humans restricted themselves within the available lands. The Maskers acts as the military unit where the non-corrupted AI invented by the Alien race The Wanderers (named by the h...read more,"['Transferred to @ArpitJalan28 Mar 2022 10:23:33 AM for ', 'Transferred to @wazirx 16 Mar 2022 12:17:11 AM for 10 WRX6.86 USD', 'Listed by @KryptoMaskers15 Mar 2022 11:15:37 PM for 10 WRX6.86 USD', 'Minted by @KryptoMaskers14 Mar 2022 06:15:08 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/38809
NEW HOME,-,0.0083 BNB (3.59 USD) ,@Vpnprasad ,@Vpnprasad ,unable to fetch,"Once seen as the center of the universe, Earth has suffered a series of demotions over the past few hundred years. Now, in an age of fast-paced discovery, we’ve learned we’re likely just one of trillions of planets in the Milky Way galaxy – and among the smaller ones at that. Earth won’t always be f...read more","['Bid placed by @Shadyholders28 Mar 2022 11:46:33 AM for 0.0083 BNB3.59 USD', 'Bid placed by @tripplevibes28 Mar 2022 11:31:52 AM for 0.0075 BNB3.24 USD', 'Bid placed by @Shadyholders28 Mar 2022 11:15:38 AM for 0.0068 BNB2.94 USD', 'Bid placed by @tripplevibes28 Mar 2022 10:05:28 AM for 0.0061 BNB2.64 USD', 'Bid placed by @0xe5...E8ab27 Mar 2022 11:45:32 PM for 0.0055 BNB2.38 USD', 'Bid placed by @PaPaJiCollects27 Mar 2022 01:24:27 PM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad27 Mar 2022 11:56:22 AM for 0.005 BNB2.16 USD', 'Listed by @Vpnprasad02 Mar 2022 06:48:58 PM for 0.15 BNB64.8 USD', 'Minted by @Vpnprasad02 Mar 2022 06:47:56 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/36023
Nightmares #2,Nightmares ,0.05 BNB (21.73 USD) ,@vectormastrs ,@vectormastrs ,https://wazirx-nft-production.imgix.net/nft/QmQiScEm14jqkEgthr2ey7sCYMYn7uzBHycH1R852CTScP,"All dreams are originally nightmares. But to get over the weirdness , we try to pick up bits and pieces of happy flashes in them and paint those shattered fragments of memories in bright and vibrant colors and call them dreams.Thanks to Juke Sergio for writing such a beautiful discription.","['Listed by @vectormastrs28 Mar 2022 10:03:23 AM for 0.05 BNB21.73 USD', 'Minted by @vectormastrs27 Mar 2022 08:08:17 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41103
Enthusiasm,Human-Face-Study ,0.0605 BNB (26.3 USD) ,@cyborgvision ,@cyborgvision ,https://wazirx-nft-production.imgix.net/nft/QmYKWeoVxYsSchYxy3Kixh2gAnvuPpPhdTmCcgQiYT7dJy,Don't be like me Salvation is not within four walls. I'm too serious to be a dilettante and too dabbler to be a professional. Even the most miserable life is better than a sheltered existence in an organized society where everything is calculated and proven.,"['Bid placed by @tripplevibes28 Mar 2022 09:53:46 AM for 0.0605 BNB26.3 USD', 'Bid placed by @divitz28 Mar 2022 08:46:33 AM for 0.055 BNB23.91 USD', 'Bid placed by @tripplevibes28 Mar 2022 02:10:23 AM for 0.05 BNB21.73 USD', 'Listed by @cyborgvision28 Mar 2022 12:15:00 AM for 0.05 BNB21.73 USD', 'Minted by @cyborgvision28 Mar 2022 12:14:14 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41148
MetaVaasi - 61/100,MetaVaasi ,0.125 BNB (54.34 USD) ,@abhishapes ,@iamsuryaz ,unable to fetch,"MetaVaasi - People of the Metaverse!
Extremely Limited Series of 100 MetaVaasis
This series is inspired by the word 'Block' in Blockchain...A series of 'MetaVaasi'(s) collectibles..","['Listed by @iamsuryaz28 Mar 2022 09:52:45 AM for 0.125 BNB54.34 USD', 'Listed by @iamsuryaz10 Jan 2022 10:20:47 AM for 13.99 WRX9.62 USD', 'Transferred to @iamsuryaz 18 Nov 2021 11:28:25 PM for 5.55 WRX3.82 USD', 'Listed by @abhishapes18 Nov 2021 11:22:43 PM for 5.55 WRX3.82 USD', 'Minted by @abhishapes18 Nov 2021 11:21:44 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/12031
With Pomegranate,-,0.05 BNB (21.73 USD) ,@Naveenfts ,@Naveenfts ,https://wazirx-nft-production.imgix.net/nft/QmWSe8XAKVEZCJpe2qGHqdFzPmk5AAyfJiRzAUVY2Xm4Ku,A girl who has been clicked when she was eating pomegranate,"['Listed by @Naveenfts28 Mar 2022 09:49:54 AM for 0.05 BNB21.73 USD', 'Minted by @Naveenfts28 Mar 2022 09:47:21 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41174
L A Y E R S,-,0.083 WBNB (36.08 USD) ,@notyourstraightgirl ,@divitz ,https://wazirx-nft-production.imgix.net/nft/QmfBC4QY9ruiKezSXzAs7tXWsZ2cbqF9VFfVyTGzruEDia,"LAYERS
 layers of emotions,
a new layer everyday,
a new emotion unlocks every person we meet,
a new version of our own,
some emotions unknown,
some good, some bad,
yet it's just you with a new layer of yourself...","['Transferred to @divitz 28 Mar 2022 09:49:02 AM for 0.083 WBNB36.08 USD', 'Listed by @notyourstraightgirl07 Nov 2021 07:24:24 PM for 51 WRX35.09 USD', 'Minted by @notyourstraightgirl07 Nov 2021 07:23:42 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/9997
क्रिप्टो पंख / Crypto Pankh,-,50 WRX (34.4 USD) ,@ripfarhan ,@iamsuryaz ,unable to fetch,"A collection of various tokens which are depicted inside the huge wings.
The head of the body is the logo of ""Metamask"".
","['Listed by @iamsuryaz28 Mar 2022 09:47:56 AM for 50 WRX34.4 USD', 'Listed by @iamsuryaz22 Dec 2021 10:20:57 AM for 99 WRX68.11 USD', 'Transferred to @iamsuryaz 05 Dec 2021 01:38:49 AM for 20 WRX13.76 USD', 'Listed by @samvinsmoke05 Dec 2021 01:35:58 AM for 20 WRX13.76 USD', 'Auction won by @samvinsmoke01 Dec 2021 09:29:50 PM for 18.15 WRX12.49 USD', 'Bid placed by @samvinsmoke01 Dec 2021 12:42:20 PM for 18.15 WRX12.49 USD', 'Bid placed by @aqfaridi01 Dec 2021 09:33:19 AM for 16.5 WRX11.35 USD', 'Bid placed by @curioussage30 Nov 2021 09:28:09 PM for 15 WRX10.32 USD', 'Listed by @ripfarhan05 Nov 2021 09:22:05 AM for 15 WRX10.32 USD', 'Minted by @ripfarhan05 Nov 2021 09:21:30 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/9743
