TITLE,COLLECTION,PRICE,CREATOR,OWNER,IMAGE,DESCRIPTION,HISTORY,LINK
UNREAL DREAMS,-,12 WRX (8.23 USD) ,@SHEBINSAM ,@SHEBINSAM ,https://wazirx-nft-production.imgix.net/nft/QmbqvPcjCKhXAktbt7JxK3WL3Bz127PLXrnH5iVSFeyA6v,"The dreams are unreal . It is a digital art of a boy in his dreams of unreality. A conceptual digital art. Theyyam is a popular ritual form of dance worship in Kerala and  Theyyam consisted of thousand-year-old traditions, rituals and customs. 
8/10
300 ppi","['Bid placed by @ksbhat28 Mar 2022 11:42:03 AM for 12 WRX8.23 USD', 'Reserve Price updated by @SHEBINSAM 28 Mar 2022 11:03:53 AM for 12 WRX8.23 USD', 'Listed by @SHEBINSAM21 Mar 2022 06:38:17 PM for 55 WRX37.73 USD', 'Reserve Price updated by @SHEBINSAM 16 Mar 2022 09:36:22 PM for 0.1 BNB43.2 USD', 'Listed by @SHEBINSAM12 Mar 2022 09:23:04 PM for 0.16 BNB69.12 USD', 'Minted by @SHEBINSAM12 Mar 2022 09:20:37 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/38480
NomNom #499,Logical-Friends-X-Deepakshi ,0.056 BNB (24.19 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmdaamQtKZT5CbrJFzWD6ypXvTv1d6X954NLXFWcrqdu41,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @PrinceArora213428 Mar 2022 11:39:16 AM for 0.056 BNB24.19 USD', 'Bid placed by @AthiraDev28 Mar 2022 11:26:57 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:04 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:28 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41169
Pepe-Verse #73,Pepe-Verse ,5 WRX (3.43 USD) ,@rjarts ,@theinfinitedesigner ,https://wazirx-nft-production.imgix.net/nft/QmYdrmcQ4ce4Guj6Fm1ZsknD35MEyHeRbiBJnnBiTjUEBp,Pepe-Verse is a cute collectible of Pepe the frog based on an internet meme consisting of a green frog and now it is a part of the blockchain.,"['Transferred to @theinfinitedesigner 28 Mar 2022 11:37:10 AM for 5 WRX3.43 USD', 'Listed by @rjarts11 Mar 2022 11:15:41 PM for 5 WRX3.43 USD', 'Minted by @rjarts11 Mar 2022 11:14:17 PM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/38330
Cyborg Lady x Noobmaster #33,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,https://wazirx-nft-production.imgix.net/nft/QmemnKSUGNVS3NKWwQgmeQNsSxpWV6BB856uV4V2cjmRmP,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:35:51 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:09:45 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:08:58 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41191
NomNom #495,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/Qmbjr92TUgus8mKfTUnoBEs43zvxBBUzHctJxSz2xxXWZs,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:35:23 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:02 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:07:13 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41166
Cyborg Lady x Psdpixology #32,Cyborg-Lady ,0.08 BNB (34.56 USD) ,Split,@livingartist ,unable to fetch,"Here is my Collab with amazing Creators for cyborg lady project which represents the potential of the Lady in this world, how they expand their boundaries in the new world of the Metaverse.

Utilities for Collab  work holders : 

- Every Holder from Collab Batch will get 20% discount on next collect...read more","['Bid placed by @joswindsa28 Mar 2022 11:34:54 AM for 0.08 BNB34.56 USD', 'Listed by @livingartist28 Mar 2022 11:06:14 AM for 0.08 BNB34.56 USD', 'Minted by @livingartist28 Mar 2022 11:05:19 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41190
NomNom #500,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmVuXpiLzh2NrZMVZRfaC4yeKYXvxjkz4AMnb2Kzfztch6,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:34:36 AM for 0.1 BNB43.2 USD', 'Bid placed by @psdpixology28 Mar 2022 11:18:29 AM for 0.04 BNB17.28 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:57:02 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 09:25:26 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41168
NomNom #492,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmTmSe4UGKZbeyjfyQaj78YSjpvqWjSRrPqjXc2UnAnFaG,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:53 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:56 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:34:46 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41161
NomNom #493,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmNd8Q5NtEdmiKa9i75Ghh4t1Hv1BgiCKVSQKm5JaPezrb,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:40 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:59 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:39:15 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41162
NomNom #494,Logical-Friends-X-Deepakshi ,0.1 BNB (43.2 USD) ,Split,@LOGICALFRIENDS ,https://wazirx-nft-production.imgix.net/nft/QmZCJG7Z328QTFmHAdNcXMpW9BHogQRFRJGVNb1rQCKdLq,"By owing a ‘NomNom’, you’re donating to an NGO, NomnomIndia, which will try to ensure that the lives of exotic animals get better. Given the lack of proper medical resources and veterinary care, most exotic animals such as rabbits & birds do not get the necessary help. Leading to a lot of pain and u...read more","['Bid placed by @snoweth28 Mar 2022 11:33:28 AM for 0.1 BNB43.2 USD', 'Listed by @LOGICALFRIENDS28 Mar 2022 10:56:59 AM for 0.04 BNB17.28 USD', 'Minted by @LOGICALFRIENDS28 Mar 2022 08:49:01 AM for ']",https://nft.wazirx.org/assets/0x23Cad0003e3A2b27b12359B25c25dD9a890AF8e1/41163
